name,categories,lat,lng
Little Ying Thai,Thai Restaurant,-31.98666419,115.904432
Galangal Thai Cuisine,Thai Restaurant,-31.994669,115.897402
Sa-Lung Thai Cafe,Thai Restaurant,-31.933538,115.859167
Siam Kitchen - Thai cuisine,Thai Restaurant,-31.947724,115.878011
Million Thai Restaurant,Thai Restaurant,-32.01036559,115.8857545
Thai Orchid,Thai Restaurant,-31.97195916,115.8528628
JJ's Thai Cuisine,Thai Restaurant,-31.895023,115.828378
Royal Thai Consulate Perth,Thai Restaurant,-31.94917794,115.8380961
Sama Sama Malaysian Thai Cuisine,Thai Restaurant,-31.933962,115.872925
Thai Orchid Restaurant & Take Away,Thai Restaurant,-31.92754094,115.8792574
Thai Caf̩,Thai Restaurant,-31.977683,115.813957
Pinto Thai Restaurant,Thai Restaurant,-31.9882392,115.8799969
Thai Esarn Restaurant,Thai Restaurant,-31.91695034,115.9133573
Thai Corner,Thai Restaurant,-32.019273,115.835985
vietnamese and thai Cuisine Lemongrass,Thai Restaurant,-31.94740678,115.8216147
Sawadee Thai,Thai Restaurant,-31.954848,115.821334
Royal Thai,Thai Restaurant,-31.925131,115.841404
Sabangna Thai,Thai Restaurant,-31.944398,115.822939
Totally Thai Eating House,Thai Restaurant,-31.97660706,115.9128186
THAI TATION,Thai Restaurant,-31.93679,115.792946
amarin thai,Thai Restaurant,-31.95009576,115.8242118
Krayaharn Thai Restaurant,Thai Restaurant,-31.84425459,115.7546767
